"accession","name","length","width","pages"
"NC_045512.2","Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,40,15
"NC_045512.2","Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,60,15
"NC_045512.2","Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",29903,80,15
